DATE,MIHOUG1URN
1/1/2011,10.2
2/1/2011,10.1
3/1/2011,10.4
4/1/2011,9.9
5/1/2011,10.6
6/1/2011,10.6
7/1/2011,10.9
8/1/2011,9.4
9/1/2011,8.3
10/1/2011,7.8
11/1/2011,8
12/1/2011,9
1/1/2012,9.6
2/1/2012,9.7
3/1/2012,10.1
4/1/2012,9.1
5/1/2012,9.7
6/1/2012,10
7/1/2012,10.5
8/1/2012,8.8
9/1/2012,7.2
10/1/2012,7.2
11/1/2012,7.1
12/1/2012,8.4
1/1/2013,9.7
2/1/2013,9.5
3/1/2013,9.7
4/1/2013,9.2
5/1/2013,10
6/1/2013,10
7/1/2013,10.1
8/1/2013,8.6
9/1/2013,7.6
10/1/2013,7.2
11/1/2013,7.2
12/1/2013,7.4
1/1/2014,8.4
2/1/2014,8.9
3/1/2014,8.9
4/1/2014,8.2
5/1/2014,8.8
6/1/2014,8.6
7/1/2014,9
8/1/2014,7.4
9/1/2014,6.3
10/1/2014,5.7
11/1/2014,6
12/1/2014,6.2
1/1/2015,7.2
2/1/2015,7.2
3/1/2015,7.3
4/1/2015,7.2
5/1/2015,7.4
6/1/2015,7.3
7/1/2015,7.5
8/1/2015,6
9/1/2015,5
10/1/2015,4.7
11/1/2015,5
12/1/2015,5.4
1/1/2016,6.3
2/1/2016,6.4
3/1/2016,6.9
4/1/2016,6.8
5/1/2016,6.3
6/1/2016,6.7
7/1/2016,7.1
8/1/2016,6.1
9/1/2016,5.3
10/1/2016,5.1
11/1/2016,4.9
12/1/2016,5.7
1/1/2017,6.7
2/1/2017,6.8
3/1/2017,6.6
4/1/2017,6
5/1/2017,5.9
6/1/2017,6.4
7/1/2017,6.9
8/1/2017,6.1
9/1/2017,4.9
10/1/2017,4.2
11/1/2017,4.7
12/1/2017,5.3
1/1/2018,6.2
2/1/2018,6.3
3/1/2018,6
4/1/2018,5.4
5/1/2018,5.4
6/1/2018,5.9
7/1/2018,5.8
8/1/2018,4.7
9/1/2018,3.8
10/1/2018,3.6
11/1/2018,3.7
12/1/2018,4.8
1/1/2019,6.2
2/1/2019,5.5
3/1/2019,5.9
4/1/2019,5
5/1/2019,5.1
6/1/2019,5.7
7/1/2019,6.1
8/1/2019,4.8
9/1/2019,3.8
10/1/2019,3.3
11/1/2019,3.5
12/1/2019,4.2
